source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url,season,validity_start,validity_end,vertical,peak_or_mid,check_in_date,check_out_date,staging_items,available_spots,booking_available,booking_provider
spiagge,spiagge_10054,Beach 33,https://www.spiagge.it/stabilimenti-balneari/10054-beach-33/,PACCHETTO BASE,Pacchetto base – Settimana 15-21 giugno 2026 (mid),Configurazione: 2B | available_spots: 85 | bookable via spiagge.it,"€84,00",84.0,EUR,per_week,beach_service,,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10054-beach-33/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,2B,85,true,spiagge.it
spiagge,spiagge_10057,Spiaggia Airone & Spiaggia di Snoopy,https://www.spiagge.it/stabilimenti-balneari/10057-spiaggia-airone/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 201 | bookable via spiagge.it,"€105,00",105.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10057-spiaggia-airone/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,201,true,spiagge.it
spiagge,spiagge_10074,Bagno Imperiale,https://www.spiagge.it/stabilimenti-balneari/10074-bagno-imperiale/,PACCHETTO BASE,Ombrellone – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2D | available_spots: 26 | bookable via spiagge.it,"€146,00",146.0,EUR,per_week,beach_service,beach_umbrella_standard,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10074-bagno-imperiale/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2D,26,true,spiagge.it
spiagge,spiagge_10091,La Playa De Cococciò,https://www.spiagge.it/stabilimenti-balneari/10091-la-playa-de-cococcio/,PACCHETTO BASE,Pacchetto base – Settimana 1-7 agosto 2026 (peak),Configurazione:  | available_spots: 17 | bookable via spiagge.it,"€42,00",42.0,EUR,per_week,beach_service,,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10091-la-playa-de-cococcio/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,,17,true,spiagge.it
spiagge,spiagge_10091,La Playa De Cococciò,https://www.spiagge.it/stabilimenti-balneari/10091-la-playa-de-cococcio/,PACCHETTO BASE,Pacchetto base – Settimana 15-21 giugno 2026 (mid),Configurazione:  | available_spots: 21 | bookable via spiagge.it,"€42,00",42.0,EUR,per_week,beach_service,,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10091-la-playa-de-cococcio/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,,21,true,spiagge.it
spiagge,spiagge_10113,Lido L'Approdo Fiumicello,https://www.spiagge.it/stabilimenti-balneari/10113-lido-l-approdo-fiumicello/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 50 | bookable via spiagge.it,"€163,00",163.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10113-lido-l-approdo-fiumicello/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,50,true,spiagge.it
spiagge,spiagge_10113,Lido L'Approdo Fiumicello,https://www.spiagge.it/stabilimenti-balneari/10113-lido-l-approdo-fiumicello/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 50 | bookable via spiagge.it,"€117,00",117.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10113-lido-l-approdo-fiumicello/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,50,true,spiagge.it
spiagge,spiagge_10090,Bagno Tiki 26,https://www.spiagge.it/stabilimenti-balneari/10090-bagno-tiki-26/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 155 | bookable via spiagge.it,"€157,00",157.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10090-bagno-tiki-26/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,155,true,spiagge.it
spiagge,spiagge_10090,Bagno Tiki 26,https://www.spiagge.it/stabilimenti-balneari/10090-bagno-tiki-26/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 166 | bookable via spiagge.it,"€187,00",187.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10090-bagno-tiki-26/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,166,true,spiagge.it
spiagge,spiagge_10118,Quasenada Beach,https://www.spiagge.it/stabilimenti-balneari/10118-quasenada-beach/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 91 | bookable via spiagge.it,"€150,00",150.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10118-quasenada-beach/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,91,true,spiagge.it
