source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,opening_hours,retrieved_at
thefork,859491,Nori Noir sushi,https://www.thefork.it/ristorante/nori-noir-sushi-r859491,"Viale Piave, 5, 20129, Milano",Milano,45.469197,9.206634,"Piatti vegetariani, Giapponese, Asiatico",€€,9,,,,2026-06-02T09:32:35Z
thefork,856794,Tegamino's,https://www.thefork.it/ristorante/tegamino-s-r856794,"V.le Bligny, 5, 20136, Milano",Milano,45.451670,9.188015,"Piatti vegetariani, Pizzeria, Europeo, Italiano",€,8.9,,,,2026-06-02T09:32:35Z
thefork,845715,The King Bistrot,https://www.thefork.it/ristorante/the-king-bistrot-r845715,"Via Trento Trieste, 43, 20026, Milano",Milano,45.522890,9.146365,"Piatti biologici, Piatti vegetariani, Italiano, Europeo",€€€,8.2,,,,2026-06-02T09:32:35Z
thefork,837871,Izu,https://www.thefork.it/ristorante/izu-r837871,"C.so Lodi, 27, 20135, Milano",Milano,45.449319,9.207510,"Giapponese, Asiatico",€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,835553,Osteria Casale,https://www.thefork.it/ristorante/osteria-casale-r835553,"Via Casale, 7, 20144, Milano",Milano,45.451415,9.171129,"Italiano, Mediterraneo, Milanese, Europeo, Lombardo",€€€,8.6,,,,2026-06-02T09:32:35Z
thefork,831004,Nagasaki Sushi & Poke,https://www.thefork.it/ristorante/nagasaki-sushi-poke-r831004,"Alzaia Naviglio Pavese, 106, 20142, Milano",Milano,45.440562,9.175033,"Piatti vegetariani, Giapponese, Asiatico",€,8.6,,,,2026-06-02T09:32:35Z
thefork,828115,Timeout 2,https://www.thefork.it/ristorante/timeout-2-r828115,"C.so Lodi, 93, 20139, Milano",Milano,45.442965,9.218554,"Opzioni senza glutine, Piatti vegetariani, Italiano, Pizzeria, Europeo",€,8.9,,,,2026-06-02T09:32:35Z
thefork,827856,Mini Sushi,https://www.thefork.it/ristorante/mini-sushi-r827856,"Via Friuli, 15, 20135, Milano",Milano,45.450752,9.210265,"Piatti vegetariani, Giapponese, Asiatico",€€,9.5,,,,2026-06-02T09:32:35Z
thefork,812587,Mozzafiato Pizzeria,https://www.thefork.it/ristorante/mozzafiato-pizzeria-r812587,"Viale Coni Zugna, 58, 20144, Milano",Milano,45.455855,9.170951,"Piatti vegani, Piatti vegetariani, Pizzeria, Europeo, Italiano",€,8.9,,,,2026-06-02T09:32:35Z
thefork,806846,Estilolivre Bistrot Italo Brasiliano,https://www.thefork.it/ristorante/estilolivre-bistrot-italo-brasiliano-r806846,"Via Lecco, 22, 20124, Milano",Milano,45.478658,9.206018,"Kosher, Opzioni senza glutine, Piatti biologici, Piatti vegetariani, Brasiliano, Di Pesce, Sudamericano",€€,8.4,,,,2026-06-02T09:32:35Z
thefork,710633,Valtellina Osteria con Giardino,https://www.thefork.it/ristorante/valtellina-osteria-con-giardino-r710633,"Via Privata Taverna, 34, 20134, Milano",Milano,45.468418,9.256123,"Piatti vegetariani, Italiano, Mediterraneo, Europeo",€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,612207,Strippoli,https://www.thefork.it/ristorante/strippoli-r612207,"Via Madre A. E. Picco, 20132, Milano",Milano,45.502098,9.242251,"Pugliese, Europeo, Italiano",€€,8.9,,,,2026-06-02T09:32:35Z
thefork,575767,L’Amuri Sicilian Restaurant,https://www.thefork.it/ristorante/l-amuri-sicilian-restaurant-r575767,"Via Maestri Campionesi, 30, 20135, Milano",Milano,45.455976,9.216100,"Opzioni senza glutine, Piatti vegani, Piatti vegetariani, Mediterraneo, Siciliano, Europeo, Italiano",€€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,499599,Bottega Lucia,https://www.thefork.it/ristorante/bottega-lucia-r499599,"Via Carlo Ravizza, 4, 20149, Milano",Milano,45.467625,9.152630,"Piatti vegetariani, Italiano, Europeo",€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,285605,Ristorante Borsieri 39,https://www.thefork.it/ristorante/ristorante-borsieri-39-r285605,"Via Pietro Borsieri, 39, 20159, Milano",Milano,45.489561,9.188921,"Opzioni senza glutine, Piatti vegetariani, Italiano, Milanese, Europeo, Lombardo",€€€,8.9,,,,2026-06-02T09:32:35Z
thefork,62012,Osteria Molo 13,https://www.thefork.it/ristorante/osteria-molo-13-r62012,"Via Rubens, 13, I-20148, Milano",Milano,45.467041,9.144332,"Opzioni senza glutine, Italiano, Sardo, Europeo",€€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,54458,Fratelli Diversi,https://www.thefork.it/ristorante/fratelli-diversi-r54458,"Via del Mare, 49, 20142, Milan",Milan,45.419330,9.157820,"Mediterraneo, Pizzeria, Europeo, Italiano",€,8,,,,2026-06-02T09:32:35Z
thefork,860228,Temakinho Milano Garibaldi - Aqua ,https://www.thefork.it/ristorante/temakinho-milano-garibaldi-aqua-r860228,"Corso Giuseppe Garibaldi, 59, 20121, Milano",Milano,45.465973,9.180498,"Brasiliano, Giapponese, Sudamericano, Asiatico",€€€,8.3,,,,2026-06-02T09:32:35Z
thefork,857450,Village Cafè Bistrot,https://www.thefork.it/ristorante/village-cafe-bistrot-r857450,"Ripa di Porta Ticinese, 53, 20143, Milano",Milano,45.451064,9.172403,"Piatti vegetariani, Cucina internazionale, Italiano, Pizzeria, Europeo",€€,8.3,,,,2026-06-02T09:32:35Z
thefork,851120,Borgo in Centrale,https://www.thefork.it/ristorante/borgo-in-centrale-r851120,"Via Napo Torriani, 9, 20124, Milano",Milano,45.481500,9.203290,"Pizzeria, Europeo, Italiano",€,8.7,,,,2026-06-02T09:32:35Z
thefork,840775,Osteria Nanin - Tre Torri,https://www.thefork.it/ristorante/osteria-nanin-tre-torri-r840775,"Piazza Tre Torri, 1L, 20145, Milano",Milano,45.478148,9.155393,"Piatti vegetariani, Italiano, Mediterraneo, Europeo",€€€,8.7,,,,2026-06-02T09:32:35Z
thefork,838062,Trafilata Navigli,https://www.thefork.it/ristorante/trafilata-navigli-r838062,"Via Vigevano, 14, 20144, Milano",Milano,45.453140,9.173288,"Piatti vegetariani, Italiano, Mediterraneo, Europeo",€,8.3,,,,2026-06-02T09:32:35Z
thefork,815106,Boccon Divino Ristorante Pizzeria,https://www.thefork.it/ristorante/boccon-divino-ristorante-pizzeria-r815106,"Largo dei Gelsomini, 10, 20146, Milano",Milano,45.448932,9.136977,"Piatti vegani, Piatti vegetariani, Italiano, Mediterraneo, Pizzeria, Europeo",€€,8.7,,,,2026-06-02T09:32:35Z
thefork,703915,Lo Scoglio Sul Naviglio,https://www.thefork.it/ristorante/lo-scoglio-sul-naviglio-r703915,"Via Lodovico Il Moro, 55, 20143, Milano",Milano,45.445184,9.144580,"Piatti vegetariani, Di Pesce, Italiano, Pizzeria, Europeo",€€,7.8,,,,2026-06-02T09:32:35Z
thefork,572603,Tutto Giusto,https://www.thefork.it/ristorante/tutto-giusto-r572603,"Via Nicola Antonio Porpora, 113, 20131, Milano",Milano,45.486207,9.227735,"Piatti vegani, Piatti vegetariani, Cucina locale, Mediterraneo",€€,8.4,,,,2026-06-02T09:32:35Z
thefork,853339,Carnissage Milano,https://www.thefork.it/ristorante/carnissage-milano-r853339,"Via Varese, 4, 20121, Milano",Milano,45.478843,9.184635,"Piatti vegetariani, Di Carne",€€€€,9,,,,2026-06-02T09:32:35Z
thefork,842519,RAW restaurant,https://www.thefork.it/ristorante/raw-restaurant-r842519,"Corso di Porta Romana, 45, 20122, Milano",Milano,45.457454,9.193842,"Opzioni senza glutine, Piatti vegetariani, Italiano, Vegetariano, Europeo",€€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,831938,Ristorante VOCE Aimo e Nadia,https://www.thefork.it/ristorante/ristorante-voce-aimo-e-nadia-r831938,"Piazza della Scala, 6, 20121, Milano",Milano,45.467264,9.190477,"Opzioni senza glutine, Piatti vegetariani, Italiano, Milanese, Europeo, Lombardo",€€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,858657,Mia Sushi & Poke,https://www.thefork.it/ristorante/mia-sushi-poke-r858657,"Via Giovita Scalvini, 16, 20158, Milano",Milano,45.498646,9.167198,"Piatti vegetariani, Fusion",€€,3.3,,,,2026-06-02T09:32:35Z
thefork,846010,Sorsi&Sorrisi,https://www.thefork.it/ristorante/sorsi-sorrisi-r846010,"Via Odoardo Tabacchi, 3, 20136, Milano",Milano,45.447576,9.180265,"Piatti vegetariani, Italiano, Europeo",€€,6.6,,,,2026-06-02T09:32:35Z
thefork,814034,Veritas Bistrot Enoteca,https://www.thefork.it/ristorante/veritas-bistrot-enoteca-r814034,"Via Augusto Anfossi, 2, 20135, Milano",Milano,45.460517,9.208461,"Opzioni senza glutine, Piatti vegetariani, Italiano, Europeo",€€,9.2,,,,2026-06-02T09:32:35Z
thefork,718631,Asmara,https://www.thefork.it/ristorante/asmara-r718631,"Via Lazzaro Palazzi, 17, 20124, Milano",Milano,45.477175,9.203644,"Piatti vegetariani, Africano, Eritreo",€€,9.3,,,,2026-06-02T09:32:35Z
thefork,853940,Lioniello Milano,https://www.thefork.it/ristorante/lioniello-milano-r853940,"Via Friuli, 46, 20135, Milano",Milano,45.454164,9.213793,"Pizzeria, Europeo, Italiano",€€,9.3,,,,2026-06-02T09:32:35Z
thefork,842394,Bela Tusa Trattoria,https://www.thefork.it/ristorante/bela-tusa-trattoria-r842394,"Via Pietro Borsieri, 26, 20159, Milano",Milano,45.488613,9.189219,"Piatti vegetariani, Milanese, Lombardo",€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,839179,Ramen Shifu Lambrate,https://www.thefork.it/ristorante/ramen-shifu-lambrate-r839179,"Via Giovanni Pacini, 67, 20131, Milano",Milano,45.484314,9.234697,"Piatti vegetariani, Asiatico, Fusion",€€,9.2,,,,2026-06-02T09:32:35Z
thefork,815552,越厨Pho Yummy,https://www.thefork.it/ristorante/pho-yummy-r815552,"Via Giordano Bruno, 15, 20154, Milano",Milano,45.480564,9.175271,"Piatti vegetariani, Asiatico, Vietnamita",€,9.2,,,,2026-06-02T09:32:35Z
thefork,806103,Al Andalus,https://www.thefork.it/ristorante/al-andalus-r806103,"Via Carlo Imbonati, 33, 20158, Milano",Milano,45.500909,9.182486,"Marocchino, Orientale",€,,,,,2026-06-02T09:32:35Z
thefork,740030,MAMÌ Storie di Cucina Italiana,https://www.thefork.it/ristorante/mami-storie-di-cucina-italiana-r740030,"Via Monte Bianco, 60, 20149, Milano",Milano,45.478689,9.145655,"Piatti vegetariani, Mediterraneo",€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,202381,La Briciola,https://www.thefork.it/ristorante/la-briciola-r202381,"Via Marsala 2, I-20121, Milano",Milano,45.477790,9.187954,"Opzioni senza glutine, Piatti vegetariani, Milanese, Lombardo",€€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,75202,D' Karbon & Limon,https://www.thefork.it/ristorante/d-karbon-limon-r75202,"Viale Tibaldi, 10, 20141, Milano",Milano,45.443447,9.177270,"Peruviano, Sudamericano",€,9.2,,,,2026-06-02T09:32:35Z
thefork,66234,Al Mozzo Ristorante,https://www.thefork.it/ristorante/al-mozzo-ristorante-r66234,"Via Marghera, 22, I-20149, Milano",Milano,45.466980,9.152276,"Piatti vegetariani, Italiano, Europeo",€€€,9.3,,,,2026-06-02T09:32:35Z
thefork,53011,I Pesciolini,https://www.thefork.it/ristorante/i-pesciolini-r53011,"Corso di Porta Romana, 51, Milano, I-20122, Milano",Milano,45.457352,9.194093,Di Pesce,€€€€,9.2,,,,2026-06-02T09:32:35Z
thefork,856923,Ristorante di Kashmir Indiano,https://www.thefork.it/ristorante/ristorante-di-kashmir-indiano-r856923,"Via Lodovico Il Moro, 13, 20143, Milano",Milano,45.446973,9.153618,"Piatti vegetariani, Di Carne, Indiano, Asiatico",€€€,8.2,,,,2026-06-02T09:32:35Z
thefork,848643,Risotteria San Martino,https://www.thefork.it/ristorante/risotteria-san-martino-r848643,"Via San Martino, 8, 20122, Milano",Milano,45.453158,9.188330,"Piatti vegetariani, Italiano, Milanese, Europeo, Lombardo",€€,7.9,,,,2026-06-02T09:32:35Z
thefork,837728,Bodega Mexicana Premuda Milano,https://www.thefork.it/ristorante/bodega-mexicana-premuda-milano-r837728,"Viale Premuda, 17, 20129, Milano",Milano,45.465527,9.206957,"Messicano, Sudamericano",€€,8.8,,,,2026-06-02T09:32:35Z
thefork,836714,Bomaki City Life - Milano,https://www.thefork.it/ristorante/bomaki-city-life-milano-r836714,"Piazza Tre Torri, 20145, Milano",Milano,45.478215,9.155457,"Opzioni senza glutine, Piatti vegani, Piatti vegetariani, Fusion",€€€,8.5,,,,2026-06-02T09:32:35Z
