source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,226413172,Club Partenopeo,,Napoli,Napoli,40.802250,14.174824,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Club Partenopeo,,osm_overpass,osm,typical_by_type
osm,13043381176,Downstairs Posillipo Lounge,,Napoli,Napoli,40.816535,14.200963,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Downstairs Posillipo Lounge,,osm_overpass,osm,typical_by_type
osm,317978666,Duel Club,,"Via Antiniana 2a, 80078, Pozzuoli",Napoli,40.828211,14.154727,,,,,+39 333 429 2254,https://duelclub.it/,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Duel Club,,osm_overpass,osm,typical_by_type
osm,4762998222,Galleria 19 Disco Club,,Napoli,Napoli,40.848469,14.252632,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Galleria 19 Disco Club,,osm_overpass,osm,typical_by_type
osm,6562169185,lanificio25,,"Piazza Enrico De Nicola 46, Napoli",Napoli,40.854665,14.264010,,,,,,https://www.lanificio25.it/,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,lanificio25,,osm_overpass,osm,typical_by_type
osm,13025439694,Le Terrazze di Virgilio,,Napoli,Napoli,40.799657,14.187180,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Le Terrazze di Virgilio,,osm_overpass,osm,typical_by_type
osm,11476190289,Marily Lounge,,Napoli,Napoli,40.850516,14.250211,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Marily Lounge,,osm_overpass,osm,typical_by_type
osm,9733699366,Moma Lounge Bar,,"80040, Volla",Napoli,40.874428,14.347332,,,,,+39 081 1917 7312,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Moma Lounge Bar,,osm_overpass,osm,typical_by_type
osm,6564766586,Moses club,,Napoli,Napoli,40.858991,14.262137,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Moses club,,osm_overpass,osm,typical_by_type
osm,9379367967,Nevermind,,Napoli,Napoli,40.802973,14.174613,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Nevermind,,osm_overpass,osm,typical_by_type
osm,6565098885,Strip club:club21,,Napoli,Napoli,40.831547,14.250712,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Strip club:club21,,osm_overpass,osm,typical_by_type
osm,6565085786,strip club:rose my club,,Napoli,Napoli,40.830556,14.245552,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,strip club:rose my club,,osm_overpass,osm,typical_by_type
osm,9381880838,Terraza Flegrea,,Napoli,Napoli,40.812119,14.166180,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Terraza Flegrea,,osm_overpass,osm,typical_by_type
osm,174048045,The Square,,Napoli,Napoli,40.805005,14.173505,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,The Square,,osm_overpass,osm,typical_by_type
osm,6937125183,The Wall,,Napoli,Napoli,40.857719,14.284062,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,The Wall,,osm_overpass,osm,typical_by_type
osm,8933758717,Birreria del Centro,,"Via dei Tribunali 363, Napoli",Napoli,40.850303,14.255428,,,,,+39 081 295623,,Mo-Su 17:00-01:00,False,,no_price,2026-06-02T10:09:42Z,craft_beer,TARGET,False,existing,Birreria del Centro,,osm_overpass,osm,typical_by_type
osm,11769184869,"""Frank Malone"" pub e birreria",,"Via Tito Angelini 13b, 80129, Napoli",Napoli,40.845953,14.237306,,,,,+39 081 578 6686,https://frankmalonebrewstore.com/,"Su, Tu-Th 19:00-01:00; Fr-Sa 09:00-18:00",False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,"""Frank Malone"" pub e birreria",,osm_overpass,osm,osm
osm,4198884414,21 Biergrube,,Napoli,Napoli,40.838358,14.214289,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,21 Biergrube,,osm_overpass,osm,typical_by_type
osm,7099927467,Angelo Carbone,,Napoli,Napoli,40.851146,14.259851,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Angelo Carbone,,osm_overpass,osm,typical_by_type
osm,13410658276,Babette,,Napoli,Napoli,40.825084,14.199601,,,,,,,"Mo-Su,PH 19:00-01:00",False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Babette,,osm_overpass,osm,osm
osm,7797019054,Beer Garden,,Napoli,Napoli,40.800715,14.176995,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Beer Garden,,osm_overpass,osm,typical_by_type
osm,9408742217,Biergarten,,"Via Mattia Preti 10 A, 80127, Napoli",Napoli,40.841685,14.227271,,,,,,https://www.biergarten-bierkeller.it/home-biergarten/,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Biergarten,,osm_overpass,osm,typical_by_type
osm,6255387686,Bierkeller,,"Via Enrico Alvino 118, 80122, Napoli",Napoli,40.845796,14.230368,,,,,,https://www.biergarten-bierkeller.it/home-bierkeller/,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Bierkeller,,osm_overpass,osm,typical_by_type
osm,2476422277,Big Pit,,"Via Raffaele Stasi 25, Napoli",Napoli,40.852238,14.230928,,,,,,http://www.bigpit.it/,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Big Pit,,osm_overpass,osm,typical_by_type
osm,2508821825,Blackwood,,Napoli,Napoli,40.807393,14.194814,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Blackwood,,osm_overpass,osm,typical_by_type
osm,3465921717,Borgo Vittoria,,Napoli,Napoli,40.832077,14.242642,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Borgo Vittoria,,osm_overpass,osm,typical_by_type
osm,5258256321,Doc Pub,,Napoli,Napoli,40.846700,14.231500,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Doc Pub,,osm_overpass,osm,typical_by_type
osm,8071588010,Ecce Homo,,Napoli,Napoli,40.844779,14.253792,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Ecce Homo,,osm_overpass,osm,typical_by_type
osm,5218669522,El Pocho,,"Via Sanità 11/12, Napoli",Napoli,40.859125,14.249272,,,,,,,"Mo-Su 11:30-16:00, 18:30-00:00",False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,El Pocho,,osm_overpass,osm,osm
osm,4248905411,El Sombrero Grill Pub,,Napoli,Napoli,40.831839,14.219217,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,El Sombrero Grill Pub,,osm_overpass,osm,typical_by_type
osm,13723512557,Flannery Pub,,Napoli,Napoli,40.824712,14.204224,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Flannery Pub,,osm_overpass,osm,typical_by_type
osm,8920374717,Forcella Spritz,,Napoli,Napoli,40.850282,14.260703,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Forcella Spritz,,osm_overpass,osm,typical_by_type
osm,13410631475,Gianni Pub,,Napoli,Napoli,40.824433,14.197478,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Gianni Pub,,osm_overpass,osm,typical_by_type
osm,12320661612,Guest House,,Napoli,Napoli,40.826606,14.195979,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Guest House,,osm_overpass,osm,typical_by_type
osm,3465921719,Haché,,Napoli,Napoli,40.831621,14.242663,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Haché,,osm_overpass,osm,typical_by_type
osm,3758688722,Ham & Grill,,Napoli,Napoli,40.830148,14.245137,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,AMBIGUOUS_TO_REVIEW,False,existing,Ham & Grill,,osm_overpass,osm,typical_by_type
osm,9104703862,Heineken Beers&Bar,,Napoli,Napoli,40.853736,14.271892,,,,,,,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Heineken Beers&Bar,,osm_overpass,osm,typical_by_type
osm,6158510788,Hoppy Ending,,"Via Santa Maria della Libera 30, 80127, Napoli",Napoli,40.842475,14.221965,,,,,+39 081 1877 9206,https://www.facebook.com/hoppyending,Mo-Su 17:00-02:00,False,,no_price,2026-06-02T10:09:42Z,pub,TARGET,False,existing,Hoppy Ending,,osm_overpass,osm,osm
