canonical_name,all_variants,geo_key,source_provenance,cluster_size,target_classification
Bar Trattoria Angela,Bar Trattoria Angela,"45.5052,9.1367",comune|comune_milano|osm,4,AMBIGUOUS
Bar Viale PIAVE 6,Bar Viale PIAVE 6 | Bar Viale PIAVE 5,"45.4694,9.2069",comune_milano,4,TARGET
La Ringhiera,La Ringhiera,"45.4521,9.1771",comune|osm,4,TARGET
Coffee&Shop Amadeus,Coffee&Shop Amadeus,"45.4589,9.1814",comune|osm,4,AMBIGUOUS
Impronta Birraia,Impronta Birraia,"45.4706,9.2460",comune|osm,4,TARGET
Mae Bar,Mae Bar,"45.4498,9.1366",comune|osm,4,AMBIGUOUS
Lambiczoon,Lambiczoon,"45.4542,9.2134",comune|osm,4,TARGET
Cimmino 104,Cimmino 104,"45.4785,9.1855",comune|osm,4,TARGET
Metro Cubo,Metro Cubo,"45.4800,9.1865",comune|osm,4,AMBIGUOUS
Bar Bocconi,Bar Bocconi,"45.4508,9.1907",comune|osm,4,AMBIGUOUS
Sensi,Sensi,"45.4560,9.1814",comune|osm,4,TARGET
The Walrus Pub,The Walrus Pub,"45.4530,9.1721",comune|osm,4,AMBIGUOUS
Rusty,Rusty,"45.4594,9.2065",comune|osm,4,TARGET
The Manhattan,The Manhattan,"45.4791,9.1843",comune|osm,4,AMBIGUOUS
The Social Chupiteria,The Social Chupiteria,"45.4510,9.1935",comune|osm,4,TARGET
Big Eppol,Big Eppol,"45.4751,9.2082",comune|osm,4,TARGET
An dì,An dì,"45.5022,9.1755",comune|osm,4,TARGET
Boombastic Cafè,Boombastic Cafè,"45.4821,9.1881",comune|osm,4,AMBIGUOUS
Red Coffee,Red Coffee,"45.4676,9.2066",comune|osm,4,AMBIGUOUS
Pan cafè,Pan cafè,"45.5153,9.2116",comune|osm,4,TARGET
Jungle Fish,Jungle Fish,"45.4836,9.1752",comune|osm,4,AMBIGUOUS
Corso Como 5 Lounge Bar,Corso Como 5 Lounge Bar,"45.4815,9.1871",comune|osm,4,AMBIGUOUS
Artefact,Artefact,"45.4560,9.1816",comune|osm,4,TARGET
Manhattan,Manhattan,"45.4520,9.1762",comune|osm,4,TARGET
3/4,3/4,"45.4888,9.1874",comune|osm,4,TARGET
Peacock,Peacock,"45.4744,9.2098",comune|osm,4,TARGET
Sui Generis,Sui Generis,"45.4764,9.2041",comune|osm,4,TARGET
The Barber cocktail bar,The Barber cocktail bar,"45.4766,9.2052",comune|osm,4,TARGET
Cantina Sarpi 1,Cantina Sarpi 1,"45.4817,9.1809",comune|osm,4,TARGET
La Birreria Italiana,La Birreria Italiana,"45.4829,9.1666",comune_milano,3,NO_TARGET
Crazy Moon,Crazy Moon,"45.5085,9.1333",comune|comune_milano|osm,3,TARGET
Mom,Mom,"45.4588,9.2060",comune|comune_milano|osm,3,TARGET
Bar Al Brivido,Bar Al Brivido,"45.4631,9.1292",comune_milano|osm,3,AMBIGUOUS
La Rosa dei Venti,La Rosa dei Venti,"45.4809,9.2019",comune_milano|osm,3,AMBIGUOUS
Cafè Soleil,Cafè Soleil,"45.4963,9.1335",comune|comune_milano|osm,3,TARGET
