master_source_venue_id,field,old_value,new_value,source
way/813353451,booking_provider,,spiagge.it,spiagge:10210
node/472598507,address,,Viale Dei Tamerigi snc,spiagge:10204
node/472598507,city,,Specchiolla,spiagge:10204
node/472598507,region,,Puglia,spiagge:10204
node/472598507,postal_code,,72012,spiagge:10204
node/472598507,booking_provider,,spiagge.it,spiagge:10204
way/702789490,address,,Viale Europa 10,spiagge:10209
way/702789490,city,,Viareggio,spiagge:10209
way/702789490,region,,Toscana,spiagge:10209
way/702789490,postal_code,,55049,spiagge:10209
way/702789490,booking_provider,,spiagge.it,spiagge:10209
way/607886446,address,,Strada Provinciale 53,spiagge:10207
way/607886446,city,,Vieste,spiagge:10207
way/607886446,region,,Puglia,spiagge:10207
way/607886446,postal_code,,71019,spiagge:10207
way/607886446,booking_provider,,spiagge.it,spiagge:10207
node/12972847923,address,,"Lungomare Augusto Murri, 9-13",spiagge:10219
node/12972847923,city,,Rimini,spiagge:10219
node/12972847923,region,,Emilia-Romagna,spiagge:10219
node/12972847923,postal_code,,47921,spiagge:10219
node/12972847923,booking_provider,,spiagge.it,spiagge:10219
node/6920179374,address,,"Via S. Marco, 33",spiagge:10218
node/6920179374,city,,Agropoli,spiagge:10218
node/6920179374,region,,Campania,spiagge:10218
node/6920179374,postal_code,,84043,spiagge:10218
node/6920179374,booking_provider,,spiagge.it,spiagge:10218
way/289351095,address,,"Via Volpella, 6",spiagge:10236
way/289351095,city,,San Costanzo,spiagge:10236
way/289351095,region,,Marche,spiagge:10236
way/289351095,postal_code,,61039,spiagge:10236
way/289351095,booking_provider,,spiagge.it,spiagge:10236
node/13081247611,region,,Emilia-Romagna,spiagge:10233
node/13081247611,booking_provider,,spiagge.it,spiagge:10233
node/7832752284,address,,"Via Mingardo, SS 562",spiagge:10230
node/7832752284,city,,Camerota,spiagge:10230
node/7832752284,region,,Campania,spiagge:10230
node/7832752284,postal_code,,84059,spiagge:10230
node/7832752284,booking_provider,,spiagge.it,spiagge:10230
way/765607019,address,,Via Lungomare Marconi 68,spiagge:10229
way/765607019,city,,Vallecrosia,spiagge:10229
way/765607019,region,,Liguria,spiagge:10229
way/765607019,postal_code,,18019,spiagge:10229
way/765607019,booking_provider,,spiagge.it,spiagge:10229
node/3709123953,address,,Località Castreccioni snc,spiagge:10231
node/3709123953,city,,Cingoli,spiagge:10231
node/3709123953,region,,Marche,spiagge:10231
node/3709123953,postal_code,,62011,spiagge:10231
node/3709123953,booking_provider,,spiagge.it,spiagge:10231
way/685167882,address,,"Via Cesare Simonetti, 1",spiagge:10237
way/685167882,city,,Fano,spiagge:10237
way/685167882,region,,Marche,spiagge:10237
way/685167882,postal_code,,61032,spiagge:10237
way/685167882,booking_provider,,spiagge.it,spiagge:10237
node/13058316480,address,,"Località Le Saline, SNC",spiagge:10243
node/13058316480,city,,Stintino,spiagge:10243
node/13058316480,region,,Sardegna,spiagge:10243
node/13058316480,postal_code,,07040,spiagge:10243
node/13058316480,booking_provider,,spiagge.it,spiagge:10243
node/13136281590,region,,Toscana,spiagge:10255
node/13136281590,booking_provider,,spiagge.it,spiagge:10255
node/3563490960,region,,Abruzzo,spiagge:10249
node/3563490960,postal_code,,64011,spiagge:10249
node/3563490960,booking_provider,,spiagge.it,spiagge:10249
way/772017437,region,,Liguria,spiagge:10253
way/772017437,booking_provider,,spiagge.it,spiagge:10253
node/12916838428,region,,Emilia-Romagna,spiagge:10260
node/12916838428,booking_provider,,spiagge.it,spiagge:10260
way/357440701,address,,"Lung. Harmine ,62",spiagge:10270
way/357440701,city,,Montalto di Castro,spiagge:10270
way/357440701,region,,Lazio,spiagge:10270
way/357440701,postal_code,,01014,spiagge:10270
way/357440701,booking_provider,,spiagge.it,spiagge:10270
way/1056931883,address,,"Via Del litorale, 230",spiagge:10280
way/1056931883,city,,Livorno,spiagge:10280
way/1056931883,region,,Toscana,spiagge:10280
way/1056931883,postal_code,,57128,spiagge:10280
way/1056931883,booking_provider,,spiagge.it,spiagge:10280
way/363957687,address,,Lungomare delle Nereidi snc,spiagge:10266
way/363957687,city,,Lido di Tarquinia,spiagge:10266
way/363957687,region,,Lazio,spiagge:10266
way/363957687,postal_code,,01016,spiagge:10266
way/363957687,booking_provider,,spiagge.it,spiagge:10266
way/129748141,address,,Viale Lungomare Roma 78/a,spiagge:10278
way/129748141,city,,Pietrasanta,spiagge:10278
way/129748141,region,,Toscana,spiagge:10278
way/129748141,postal_code,,55045,spiagge:10278
way/129748141,booking_provider,,spiagge.it,spiagge:10278
node/1304617253,address,,"Viale Del Tirreno, 32",spiagge:10277
node/1304617253,city,,Tirrenia,spiagge:10277
node/1304617253,region,,Toscana,spiagge:10277
node/1304617253,postal_code,,56128,spiagge:10277
node/1304617253,booking_provider,,spiagge.it,spiagge:10277
way/130627381,address,,Viale Roma 37,spiagge:10281
way/130627381,city,,Pietrasanta,spiagge:10281
way/130627381,region,,Toscana,spiagge:10281
way/130627381,postal_code,,55045,spiagge:10281
way/130627381,booking_provider,,spiagge.it,spiagge:10281
way/452541863,address,,Viale Europa 112,spiagge:10282
way/452541863,city,,Camaiore,spiagge:10282
way/452541863,region,,Toscana,spiagge:10282
way/452541863,postal_code,,55041,spiagge:10282
way/452541863,booking_provider,,spiagge.it,spiagge:10282
node/10847470148,address,,Via Del Tirreno 10,spiagge:10287
