source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,phone,brand,venue_type,price_hints,vertical,has_menu,extraction_status,retrieved_at
osm_overpass,osm_45.59241_12.8577,Da Andrea,,,altro,45.5924073,12.8577049,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.7089_11.73044,Palestra Scuola Primaria Sant'Anna,,"Via Enrico Fermi, 36027, Rosà",Rosà,45.7089019,11.7304391,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.50758_10.17917,Campo Sportivo Chico Nova,,,altro,45.5075845,10.1791705,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.52448_10.23531,FEEK SPORT asd,https://www.feelsportasd.com/,Via Federico Balestrieri,altro,45.5244795,10.2353122,+39 339 669 0951,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.54587_9.18003,Campo di calcio comunale del Seveso,,"Via Caveto, 20095, Cusano Milanino",Cusano Milanino,45.545869,9.1800334,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.55604_9.19825,Atletico Cinisello A.C.,,,altro,45.5560424,9.1982498,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.20371_9.15314,Tiro a Segno Nazionale Pavia,,,altro,45.2037148,9.1531398,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.81439_12.58692,7 Seven Sporting Club,https://7sportingclub.com/,,Roma,41.8143914,12.5869193,+39 06 791 5152,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.35623_11.71401,Palestra Guido Pifferi,,,altro,44.3562299,11.7140079,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.43793_11.47971,Acqua&Fitness,https://www.acquaefitness.it/,,altro,44.43793,11.4797069,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.60055_9.42599,Centro sportivo Comunale,,,altro,45.6005488,9.4259949,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.48662_11.36784,Palestra McFIT Bologna Mazzini,https://www.mcfit.com/it/palestre/palestre/palestre/studio/bologna-mazzini/,,Bologna,44.4866177,11.367841,,McFit,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.84529_11.05046,Tavola Calcio,,,altro,43.8452913,11.0504634,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.50846_12.94609,Circolo Ippico Dante,,,altro,41.5084589,12.9460894,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.78129_12.21909,AC Arcade associazione sportiva dilettantistica,,,altro,45.7812893,12.2190912,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.74199_12.23011,Palestra Comunale,,,altro,45.7419901,12.2301066,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.48055_11.35309,Circolo Tennis Bologna,,,Bologna,44.4805471,11.353086,+39 051 333420,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
