spiagge_venue_id,spiagge_url,slug,sitemap_source,discovered_at
10134,https://www.spiagge.it/stabilimenti-balneari/10134-stella-maris-beach/,stella-maris-beach,stabilimenti_03,2026-06-01T15:18:21Z
10135,https://www.spiagge.it/stabilimenti-balneari/10135-made-in-italy-beach/,made-in-italy-beach,stabilimenti_01,2026-06-01T15:18:21Z
10136,https://www.spiagge.it/stabilimenti-balneari/10136-lido-sunshine/,lido-sunshine,stabilimenti_01,2026-06-01T15:18:21Z
10137,https://www.spiagge.it/stabilimenti-balneari/10137-marina-piccola-beach/,marina-piccola-beach,stabilimenti_01,2026-06-01T15:18:21Z
10138,https://www.spiagge.it/stabilimenti-balneari/10138-bagno-medusa/,bagno-medusa,stabilimenti_01,2026-06-01T15:18:21Z
10139,https://www.spiagge.it/stabilimenti-balneari/10139-bagno-lido/,bagno-lido,stabilimenti_01,2026-06-01T15:18:21Z
10140,https://www.spiagge.it/stabilimenti-balneari/10140-bagni-pupa-e-mocambo/,bagni-pupa-e-mocambo,stabilimenti_01,2026-06-01T15:18:21Z
10141,https://www.spiagge.it/stabilimenti-balneari/10141-bagno-16-stefano-da-michele/,bagno-16-stefano-da-michele,stabilimenti_03,2026-06-01T15:18:21Z
10144,https://www.spiagge.it/stabilimenti-balneari/10144-poseidon-beach/,poseidon-beach,stabilimenti_01,2026-06-01T15:18:21Z
10148,https://www.spiagge.it/stabilimenti-balneari/10148-blue-relax/,blue-relax,stabilimenti_03,2026-06-01T15:18:21Z
10149,https://www.spiagge.it/stabilimenti-balneari/10149-lido-nautilus-beach/,lido-nautilus-beach,stabilimenti_01,2026-06-01T15:18:21Z
10150,https://www.spiagge.it/stabilimenti-balneari/10150-lido-la-baita/,lido-la-baita,stabilimenti_01,2026-06-01T15:18:21Z
10151,https://www.spiagge.it/stabilimenti-balneari/10151-soleluna-spiaggia-barricata/,soleluna-spiaggia-barricata,stabilimenti_01,2026-06-01T15:18:21Z
10152,https://www.spiagge.it/stabilimenti-balneari/10152-bagno-sorriso/,bagno-sorriso,stabilimenti_01,2026-06-01T15:18:21Z
10153,https://www.spiagge.it/stabilimenti-balneari/10153-kiki-beach-zona-29-30-31/,kiki-beach-zona-29-30-31,stabilimenti_01,2026-06-01T15:18:21Z
10154,https://www.spiagge.it/stabilimenti-balneari/10154-b-81/,b-81,stabilimenti_01,2026-06-01T15:18:21Z
10155,https://www.spiagge.it/stabilimenti-balneari/10155-chalet-papillon/,chalet-papillon,stabilimenti_01,2026-06-01T15:18:21Z
10156,https://www.spiagge.it/stabilimenti-balneari/10156-raphael-beach/,raphael-beach,stabilimenti_01,2026-06-01T15:18:21Z
10157,https://www.spiagge.it/stabilimenti-balneari/10157-bagno-stella-marina/,bagno-stella-marina,stabilimenti_01,2026-06-01T15:18:21Z
10158,https://www.spiagge.it/stabilimenti-balneari/10158-mamabeach/,mamabeach,stabilimenti_03,2026-06-01T15:18:21Z
10159,https://www.spiagge.it/stabilimenti-balneari/10159-playa-marconi/,playa-marconi,stabilimenti_03,2026-06-01T15:18:21Z
10160,https://www.spiagge.it/stabilimenti-balneari/10160-bagno-nilo/,bagno-nilo,stabilimenti_01,2026-06-01T15:18:21Z
10162,https://www.spiagge.it/stabilimenti-balneari/10162-stabilimento-balneare-bikini/,stabilimento-balneare-bikini,stabilimenti_01,2026-06-01T15:18:21Z
10164,https://www.spiagge.it/stabilimenti-balneari/10164-animalido-dog-beach/,animalido-dog-beach,stabilimenti_01,2026-06-01T15:18:21Z
10166,https://www.spiagge.it/stabilimenti-balneari/10166-playa-el-flamingo/,playa-el-flamingo,stabilimenti_03,2026-06-01T15:18:21Z
10167,https://www.spiagge.it/stabilimenti-balneari/10167-bagno-mergellina/,bagno-mergellina,stabilimenti_03,2026-06-01T15:18:21Z
10169,https://www.spiagge.it/stabilimenti-balneari/10169-bagno-elena/,bagno-elena,stabilimenti_03,2026-06-01T15:18:21Z
